Date,Open,High,Low,Close/Price,Volume
3/29/2021,317.07,322.97,305.78,308.39,3041416
3/30/2021,305,314.88,302.32,313.19,2837135
3/31/2021,315.24,325.74,311.13,321.29,2773222
4/1/2021,325.98,338.91,325.5,326.23,2853899
4/5/2021,327.83,328.5,313.1,323.96,3024709
4/6/2021,323.75,332.66,321.66,329.79,3767050
4/7/2021,329.11,333.44,319.23,323.08,4197653
4/8/2021,326.85,333.99,326,331.28,2821481
4/9/2021,329.1,329.82,319.42,322.65,3216481
4/12/2021,318.1,322.38,315.19,321.51,2964475
4/13/2021,327.36,343.71,325.5,342.75,5298165
4/14/2021,344.72,345.02,328.63,329.2,2844896
4/15/2021,334.15,338.42,327.46,332.38,3360706
4/16/2021,330.27,333.75,326.87,329.95,2476528
4/19/2021,327.52,337.8,320.5,324.33,3131938
4/20/2021,326.73,327.55,316.36,321.78,2282512
4/21/2021,317.01,323.11,313.5,322.76,1917537
4/22/2021,322.67,338.05,322.67,328.32,3328347
4/23/2021,331.49,338.55,328.24,336.88,2446094
4/26/2021,337.51,338,329.21,336.42,2286662
4/27/2021,336.39,341.68,330.89,333.49,2208306
4/29/2021,331.16,332.5,318.89,321.1,3121077
4/30/2021,318.03,326.28,317.24,319.57,2152491
5/3/2021,320.24,321.13,311.53,313.92,2253018
5/4/2021,310.96,311.5,298.77,304.85,3727585
5/5/2021,306.53,310.98,294.5,297.59,2582590
5/6/2021,295.2,295.2,285.61,293.05,3369092
5/7/2021,295.44,304.7,292.71,295.24,2446247
5/10/2021,293.01,293.94,286.04,288.49,2507782
5/11/2021,273.91,302,273.2,300.25,4084394
5/12/2021,291.05,296.53,282.41,289.7,3419846
5/13/2021,293.98,296.61,275.8,290.16,4608514
5/14/2021,292.15,309.18,292.15,307.89,4357291
5/17/2021,304.83,311.91,301.93,308.93,2905553
5/18/2021,309.41,322.25,304.97,312.86,3311947
5/19/2021,301.58,311.51,299,310.46,1728378
5/20/2021,314.25,325.95,313.03,324.71,3029444
5/21/2021,328.21,329.45,316.06,316.4,2057281
5/24/2021,318.52,324.03,316.5,321.56,1855034
5/25/2021,322.71,325.51,316.08,321.28,2160143
5/26/2021,324.3,329.46,323.24,326.05,2374274
5/27/2021,324.11,331,317.55,326.43,3622149
5/28/2021,330.51,336.33,329.63,331.53,2745710
6/1/2021,333.33,336.14,321.7,327.72,6607106
6/2/2021,331.88,333.79,322.21,327.11,6252059
6/3/2021,320.11,325.83,318.25,319.01,3107262
6/4/2021,321.59,338.99,319.77,336,5604900
6/7/2021,332.67,344.93,331.12,342.66,4538681
